            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460145.062500000, A.D. 2023-Jul-19 13:30:00.0000, -2.910021125209877E+05,  2.811954354148196E+05,  3.386134488516106E+04,
2460145.083333333, A.D. 2023-Jul-19 14:00:00.0000, -2.922246709864931E+05,  2.799468441714953E+05,  3.381849349959215E+04,
2460145.104166667, A.D. 2023-Jul-19 14:30:00.0000, -2.934415509084778E+05,  2.786928790870605E+05,  3.377497773178374E+04,
2460145.125000000, A.D. 2023-Jul-19 15:00:00.0000, -2.946527288176207E+05,  2.774335650535055E+05,  3.373079849200544E+04,
2460145.145833333, A.D. 2023-Jul-19 15:30:00.0000, -2.958581813456236E+05,  2.761689270487471E+05,  3.368595670183572E+04,
2460145.166666667, A.D. 2023-Jul-19 16:00:00.0000, -2.970578852254355E+05,  2.748989901362592E+05,  3.364045329414221E+04,
2460145.187500000, A.D. 2023-Jul-19 16:30:00.0000, -2.982518172914747E+05,  2.736237794647043E+05,  3.359428921306280E+04,
2460145.208333333, A.D. 2023-Jul-19 17:00:00.0000, -2.994399544798499E+05,  2.723433202675642E+05,  3.354746541398605E+04,
2460145.229166667, A.D. 2023-Jul-19 17:30:00.0000, -3.006222738285807E+05,  2.710576378627725E+05,  3.349998286353196E+04,
2460145.250000000, A.D. 2023-Jul-19 18:00:00.0000, -3.017987524778152E+05,  2.697667576523470E+05,  3.345184253953237E+04,
2460145.270833333, A.D. 2023-Jul-19 18:30:00.0000, -3.029693676700485E+05,  2.684707051220227E+05,  3.340304543101187E+04,
2460145.291666667, A.D. 2023-Jul-19 19:00:00.0000, -3.041340967503382E+05,  2.671695058408849E+05,  3.335359253816798E+04,
2460145.312500000, A.D. 2023-Jul-19 19:30:00.0000, -3.052929171665190E+05,  2.658631854610033E+05,  3.330348487235200E+04,
2460145.333333333, A.D. 2023-Jul-19 20:00:00.0000, -3.064458064694172E+05,  2.645517697170665E+05,  3.325272345604927E+04,
2460145.354166667, A.D. 2023-Jul-19 20:30:00.0000, -3.075927423130624E+05,  2.632352844260170E+05,  3.320130932285983E+04,
2460145.375000000, A.D. 2023-Jul-19 21:00:00.0000, -3.087337024548990E+05,  2.619137554866866E+05,  3.314924351747890E+04,
2460145.395833333, A.D. 2023-Jul-19 21:30:00.0000, -3.098686647559963E+05,  2.605872088794320E+05,  3.309652709567711E+04,
2460145.416666667, A.D. 2023-Jul-19 22:00:00.0000, -3.109976071812575E+05,  2.592556706657723E+05,  3.304316112428124E+04,
2460145.437500000, A.D. 2023-Jul-19 22:30:00.0000, -3.121205077996273E+05,  2.579191669880249E+05,  3.298914668115439E+04,
2460145.458333333, A.D. 2023-Jul-19 23:00:00.0000, -3.132373447842983E+05,  2.565777240689444E+05,  3.293448485517659E+04,
2460145.479166667, A.D. 2023-Jul-19 23:30:00.0000, -3.143480964129170E+05,  2.552313682113594E+05,  3.287917674622500E+04,
2460145.500000000, A.D. 2023-Jul-20 00:00:00.0000, -3.154527410677876E+05,  2.538801257978126E+05,  3.282322346515441E+04,
2460145.520833333, A.D. 2023-Jul-20 00:30:00.0000, -3.165512572360755E+05,  2.525240232901993E+05,  3.276662613377767E+04,
2460145.541666667, A.D. 2023-Jul-20 01:00:00.0000, -3.176436235100094E+05,  2.511630872294076E+05,  3.270938588484580E+04,
